,Year,Week,Dengue_Count
0,2012,1,74
1,2012,2,66
2,2012,3,61
3,2012,4,52
4,2012,5,85
5,2012,6,87
6,2012,7,65
7,2012,8,51
8,2012,9,55
9,2012,10,46
10,2012,11,64
11,2012,12,73
12,2012,13,48
13,2012,14,52
14,2012,15,82
15,2012,16,77
16,2012,17,64
17,2012,18,88
18,2012,19,97
19,2012,20,80
20,2012,21,80
21,2012,22,81
22,2012,23,100
23,2012,24,88
24,2012,25,129
25,2012,26,151
26,2012,27,140
27,2012,28,132
28,2012,29,125
29,2012,30,110
30,2012,31,94
31,2012,32,127
32,2012,33,115
33,2012,34,92
34,2012,35,102
35,2012,36,76
36,2012,37,74
37,2012,38,72
38,2012,39,100
39,2012,40,104
40,2012,41,123
41,2012,42,105
42,2012,43,84
43,2012,44,104
44,2012,45,100
45,2012,46,88
46,2012,47,100
47,2012,48,80
48,2012,49,78
49,2012,50,105
50,2012,51,94
51,2012,52,112
52,2013,1,134
53,2013,2,205
54,2013,3,219
55,2013,4,267
56,2013,5,293
57,2013,6,322
58,2013,7,247
59,2013,8,296
60,2013,9,249
61,2013,10,273
62,2013,11,308
63,2013,12,307
64,2013,13,316
65,2013,14,406
66,2013,15,492
67,2013,16,509
68,2013,17,538
69,2013,18,547
70,2013,19,558
71,2013,20,611
72,2013,21,640
73,2013,22,746
74,2013,23,814
75,2013,24,809
76,2013,25,842
77,2013,26,806
78,2013,27,678
79,2013,28,541
80,2013,29,390
81,2013,30,306
82,2013,31,289
83,2013,32,256
84,2013,33,378
85,2013,34,341
86,2013,35,386
87,2013,36,452
88,2013,37,339
89,2013,38,376
90,2013,39,406
91,2013,40,441
92,2013,41,438
93,2013,42,374
94,2013,43,495
95,2013,44,458
96,2013,45,402
97,2013,46,444
98,2013,47,365
99,2013,48,372
100,2013,49,347
101,2013,50,381
102,2013,51,371
103,2013,52,414
0,2014,1,437
1,2014,2,479
2,2014,3,401
3,2014,4,336
4,2014,5,234
5,2014,6,274
6,2014,7,369
7,2014,8,194
8,2014,9,187
9,2014,10,210
10,2014,11,225
11,2014,12,210
12,2014,13,225
13,2014,14,240
14,2014,15,245
15,2014,16,235
16,2014,17,282
17,2014,18,251
18,2014,19,261
19,2014,20,291
20,2014,21,428
21,2014,22,456
22,2014,23,459
23,2014,24,506
24,2014,25,551
25,2014,26,671
26,2014,27,891
27,2014,28,819
28,2014,29,746
29,2014,30,634
30,2014,31,484
31,2014,32,545
32,2014,33,438
33,2014,34,418
34,2014,35,367
35,2014,36,339
36,2014,37,362
37,2014,38,397
38,2014,39,345
39,2014,40,339
40,2014,41,278
41,2014,42,297
42,2014,43,213
43,2014,44,186
44,2014,45,169
45,2014,46,158
46,2014,47,149
47,2014,48,162
48,2014,49,212
49,2014,50,177
50,2014,51,198
51,2014,52,188
52,2014,53,158
53,2015,1,257
54,2015,2,228
55,2015,3,238
56,2015,4,259
57,2015,5,212
58,2015,6,173
59,2015,7,99
60,2015,8,172
61,2015,9,190
62,2015,10,110
63,2015,11,91
64,2015,12,130
65,2015,13,91
66,2015,14,107
67,2015,15,137
68,2015,16,113
69,2015,17,119
70,2015,18,135
71,2015,19,158
72,2015,20,109
73,2015,21,180
74,2015,22,152
75,2015,23,193
76,2015,24,207
77,2015,25,240
78,2015,26,242
79,2015,27,272
80,2015,28,263
81,2015,29,293
82,2015,30,250
83,2015,31,226
84,2015,32,221
