Category: All categories

Month,dengue: (Singapore),dengue symptoms: (Singapore),fever: (Singapore),mosquito: (Singapore)
2014-01,27,8,55,14
2014-02,25,7,50,30
2014-03,18,6,45,35
2014-04,22,6,49,22
2014-05,22,6,55,19
2014-06,29,8,62,17
2014-07,47,14,71,20
2014-08,36,9,59,18
2014-09,24,6,50,15
2014-10,19,5,42,13
2014-11,16,4,44,12
2014-12,15,5,48,12
2015-01,16,5,49,13
2015-02,14,4,49,13
2015-03,14,3,52,14
2015-04,14,3,49,15
2015-05,16,5,57,15
2015-06,18,5,66,15
2015-07,20,3,50,14
2015-08,16,4,51,13
2015-09,17,4,50,12
2015-10,18,4,45,14
2015-11,16,4,51,15
2015-12,22,6,53,17
2016-01,45,10,65,21
2016-02,43,11,73,22
2016-03,30,7,60,15
2016-04,24,5,52,15
2016-05,21,5,49,19
2016-06,21,7,56,17
2016-07,23,6,64,15
2016-08,24,5,52,35
2016-09,26,4,55,85
2016-10,16,3,48,17
2016-11,12,3,49,14
2016-12,10,2,47,14
2017-01,11,2,51,12
2017-02,10,2,52,13
2017-03,11,3,55,14
2017-04,10,3,57,16
2017-05,13,4,63,16
2017-06,11,3,59,13
2017-07,13,3,54,14
2017-08,11,3,45,13
2017-09,10,2,52,14
2017-10,12,3,51,15
2017-11,10,2,52,13
2017-12,10,2,52,12
2018-01,12,3,62,14
2018-02,10,2,57,14
2018-03,9,2,48,14
2018-04,8,2,54,18
2018-05,21,4,52,18
2018-06,12,3,52,17
2018-07,12,2,51,17
2018-08,10,2,47,15
2018-09,10,2,48,13
2018-10,9,2,45,14
2018-11,12,2,55,17
2018-12,15,3,54,16
2019-01,19,3,53,14
2019-02,20,3,55,17
2019-03,13,2,50,17
2019-04,16,3,48,18
2019-05,22,5,54,20
2019-06,36,8,61,22
2019-07,47,9,66,20
2019-08,44,8,68,23
2019-09,30,5,54,20
2019-10,23,4,51,19
2019-11,29,6,58,20
2019-12,22,4,62,18
2020-01,29,5,81,17
2020-02,38,4,100,21
2020-03,29,5,87,20
2020-04,22,4,61,21
2020-05,31,4,45,29
2020-06,67,10,52,41
2020-07,81,12,47,44
2020-08,59,10,46,35
2020-09,37,6,36,23
2020-10,26,5,40,20
2020-11,18,3,33,16
2020-12,12,2,33,17
2021-01,11,2,35,16
2021-02,10,2,39,15
2021-03,11,2,41,19
2021-04,10,2,48,20
2021-05,10,2,49,20
2021-06,11,2,44,19
2021-07,11,1,58,17
2021-08,9,1,47,16
2021-09,10,1,40,17
2021-10,10,1,44,14
2021-11,8,1,42,14
2021-12,6,1,38,13
2022-01,9,2,58,15
2022-02,10,2,74,18
2022-03,17,3,55,19
2022-04,34,6,47,25
2022-05,51,12,61,28
2022-06,58,15,68,28
2022-07,48,13,83,23
2022-08,37,10,62,21
2022-09,28,8,60,21
2022-10,24,7,73,22
2022-11,16,4,54,18
2022-12,17,5,53,17
2023-01,16,5,55,16
2023-02,14,4,61,17
2023-03,14,4,73,17
2023-04,14,4,72,18
2023-05,13,4,55,21
2023-06,16,3,52,19
2023-07,18,4,58,20
2023-08,16,4,60,17
2023-09,21,4,59,18
2023-10,18,3,54,18
2023-11,12,3,57,17
2023-12,13,4,70,18
2024-01,20,5,66,19
2024-02,23,5,62,16
2024-03,19,4,55,17
2024-04,25,5,54,18
2024-05,19,4,63,20
2024-06,19,4,61,19
2024-07,20,4,67,20
