Category: All categories

Month,dengue symptoms: (Singapore)
2012-01,9
2012-02,8
2012-03,8
2012-04,9
2012-05,10
2012-06,13
2012-07,15
2012-08,9
2012-09,10
2012-10,12
2012-11,9
2012-12,9
2013-01,14
2013-02,23
2013-03,15
2013-04,39
2013-05,48
2013-06,100
2013-07,44
2013-08,32
2013-09,28
2013-10,37
2013-11,33
2013-12,26
2014-01,28
2014-02,25
2014-03,19
2014-04,20
2014-05,20
2014-06,27
2014-07,49
2014-08,32
2014-09,21
2014-10,16
2014-11,14
2014-12,17
2015-01,18
2015-02,13
2015-03,10
2015-04,9
2015-05,15
2015-06,17
2015-07,11
2015-08,13
2015-09,12
2015-10,12
2015-11,14
2015-12,21
2016-01,33
2016-02,39
2016-03,25
2016-04,17
2016-05,18
2016-06,23
2016-07,20
2016-08,19
2016-09,15
2016-10,11
2016-11,9
2016-12,7
2017-01,8
2017-02,10
2017-03,9
2017-04,9
2017-05,13
2017-06,11
2017-07,9
2017-08,8
2017-09,7
2017-10,10
2017-11,9
2017-12,7
2018-01,8
2018-02,8
2018-03,6
2018-04,7
2018-05,14
2018-06,10
2018-07,8
2018-08,6
2018-09,6
2018-10,6
2018-11,8
2018-12,10
2019-01,10
2019-02,12
2019-03,6
2019-04,10
2019-05,17
2019-06,27
2019-07,31
2019-08,27
2019-09,19
2019-10,14
2019-11,17
2019-12,14
2020-01,18
2020-02,14
2020-03,17
2020-04,12
2020-05,15
2020-06,36
2020-07,42
2020-08,35
2020-09,22
2020-10,17
2020-11,11
2020-12,8
2021-01,6
2021-02,6
2021-03,6
2021-04,5
2021-05,6
2021-06,5
2021-07,5
2021-08,4
2021-09,4
2021-10,5
2021-11,4
2021-12,3
2022-01,5
2022-02,6
2022-03,11
2022-04,21
2022-05,40
2022-06,53
2022-07,46
2022-08,33
2022-09,27
2022-10,25
2022-11,16
2022-12,16
2023-01,16
2023-02,14
2023-03,13
2023-04,14
2023-05,13
2023-06,12
2023-07,14
2023-08,13
2023-09,15
2023-10,12
2023-11,9
2023-12,13
2024-01,15
2024-02,16
2024-03,14
2024-04,16
2024-05,14
2024-06,14
2024-07,15
